outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,1-3,NA,0.22 (0.20-0.25),0.24 (0.22-0.27),0.27 (0.24-0.30),77.5 (74.8-79.9),75.9 (73.0-78.4),73.5 (70.3-76.3)
"Positive
SARS-CoV-2
test",Any vaccine,4-7,NA,0.32 (0.29-0.35),0.35 (0.32-0.38),0.38 (0.35-0.42),68.1 (65.4-70.7),65.4 (62.4-68.2),61.6 (58.3-64.7)
"Positive
SARS-CoV-2
test",Any vaccine,8-14,NA,0.38 (0.36-0.40),0.42 (0.39-0.45),0.47 (0.44-0.50),62.1 (59.5-64.4),58.2 (55.3-60.8),53.4 (50.3-56.4)
"Positive
SARS-CoV-2
test",Any vaccine,15-21,NA,0.33 (0.30-0.35),0.37 (0.34-0.40),0.41 (0.38-0.44),67.2 (64.7-69.5),63.2 (60.4-65.8),58.9 (55.7-61.8)
"Positive
SARS-CoV-2
test",Any vaccine,22-28,NA,0.27 (0.24-0.29),0.30 (0.28-0.34),0.35 (0.32-0.38),73.4 (70.8-75.8),69.5 (66.5-72.3),65.1 (61.6-68.3)
"Positive
SARS-CoV-2
test",Any vaccine,29-35,NA,0.24 (0.22-0.27),0.28 (0.25-0.31),0.32 (0.29-0.36),76.0 (73.3-78.4),72.2 (69.0-75.1),67.8 (64.1-71.1)
"Positive
SARS-CoV-2
test",Any vaccine,36+,NA,0.21 (0.19-0.23),0.25 (0.22-0.27),0.29 (0.26-0.32),78.9 (76.8-80.8),75.3 (72.7-77.7),71.2 (68.1-74.0)
"Positive
SARS-CoV-2
test",BNT162b2,1-3,NA,0.16 (0.14-0.19),0.18 (0.16-0.21),0.22 (0.18-0.25),83.6 (80.9-85.9),81.8 (78.9-84.4),78.5 (74.8-81.7)
"Positive
SARS-CoV-2
test",BNT162b2,4-7,NA,0.25 (0.22-0.27),0.27 (0.25-0.31),0.32 (0.28-0.35),75.3 (72.5-77.9),72.5 (69.4-75.4),68.3 (64.6-71.6)
"Positive
SARS-CoV-2
test",BNT162b2,8-14,NA,0.34 (0.31-0.36),0.38 (0.35-0.41),0.44 (0.41-0.48),66.5 (63.8-68.9),62.4 (59.4-65.1),55.8 (52.3-59.1)
"Positive
SARS-CoV-2
test",BNT162b2,15-21,NA,0.30 (0.28-0.33),0.34 (0.31-0.37),0.40 (0.37-0.44),69.8 (67.3-72.2),66.0 (63.1-68.7),59.6 (56.2-62.8)
"Positive
SARS-CoV-2
test",BNT162b2,22-28,NA,0.26 (0.23-0.29),0.29 (0.26-0.33),0.37 (0.34-0.42),74.3 (71.4-76.9),70.5 (67.2-73.5),62.5 (58.3-66.4)
"Positive
SARS-CoV-2
test",BNT162b2,29-35,NA,0.24 (0.22-0.28),0.28 (0.25-0.32),0.37 (0.33-0.42),75.5 (72.4-78.3),71.9 (68.2-75.1),63.1 (58.2-67.4)
"Positive
SARS-CoV-2
test",BNT162b2,36+,NA,0.24 (0.21-0.26),0.27 (0.24-0.30),0.36 (0.32-0.40),76.5 (73.7-78.9),73.4 (70.2-76.2),64.1 (59.6-68.0)
"Positive
SARS-CoV-2
test",ChAdOx1,1-3,NA,0.35 (0.30-0.42),0.35 (0.30-0.42),0.52 (0.40-0.67),64.6 (58.2-70.0),64.7 (58.2-70.1),48.2 (33.4-59.8)
"Positive
SARS-CoV-2
test",ChAdOx1,4-7,NA,0.49 (0.42-0.55),0.49 (0.43-0.56),0.72 (0.59-0.88),51.5 (44.6-57.6),50.8 (43.8-57.0),28.0 (12.2-40.9)
"Positive
SARS-CoV-2
test",ChAdOx1,8-14,NA,0.50 (0.45-0.56),0.52 (0.46-0.58),0.83 (0.72-0.96),49.9 (43.8-55.4),48.4 (42.0-54.1),16.8 (3.6-28.3)
"Positive
SARS-CoV-2
test",ChAdOx1,15-21,NA,0.45 (0.40-0.52),0.47 (0.41-0.54),0.69 (0.59-0.80),54.5 (47.9-60.4),52.6 (45.5-58.8),31.1 (19.9-40.9)
"Positive
SARS-CoV-2
test",ChAdOx1,22-28,NA,0.38 (0.32-0.45),0.39 (0.33-0.47),0.61 (0.49-0.75),62.1 (55.0-68.0),60.6 (53.1-66.9),39.3 (24.9-50.9)
"Positive
SARS-CoV-2
test",ChAdOx1,29-35,NA,0.36 (0.29-0.44),0.37 (0.30-0.45),0.56 (0.43-0.74),64.1 (56.1-70.7),63.1 (54.6-69.9),43.7 (26.4-57.0)
